Signal,ID,Character,Title,位置,Content,JumpTo,Effect,Target
#,0,枯草果冻,掌管游戏奖励的神,右,这位玩家你好！准备好挑战自己了么？,1,,
&,1,,,左,准备好了！,3,,
&,2,,,左,还没准备好...,4,,
#,3,枯草果冻,掌管游戏奖励的神,左,好！很有精神！请听题：,5,,
#,4,枯草果冻,掌管游戏奖励的神,左,过了这村就没这店了！,100,,
END,100,,,左,,100,,
#,5,枯草果冻,掌管游戏奖励的神,左,请问在这个世界中如何疾跑？,6,,
&,6,,,左,扛起电脑冲刺。,10,AddXingqiong;-100,
&,7,,,左,按住Ctrl。,10,AddXingqiong;-100,
&,8,,,左,按住Shift。,9,AddCatcake;DanhengCatcake,
#,9,枯草果冻,掌管游戏奖励的神,左,正确的，直接的，中肯的，雅致的，客观的，完整的，立体的，全面的，辩证的，形而上学的，雅俗共赏的，一针见血的，直击要害的。,100,,
#,10,枯草果冻,掌管游戏奖励的神,左,回答错误，扣10分。,100,,
!,NOTSHOWAGAIN,,,,,,,
